0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 24, 0, 0, 2, 1, 28, 28, 1, 1, 1, 1, 28, 28, 1, 1, 1, 1, 16, 28, 3, 1, 2, 7, 8, 28, 28, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 1, 1, 30, 30, 1, 1, 1, 1, 1, 1, 30, 1, 1, 1, 1, 1, 1, 26, 30, 1, 1, 1, 5, 8, 9, 30, 25, 9, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 1, 1, 30, 1, 1, 1, 1, 1, 28, 30, 1, 1, 1, 1, 1, 30, 26, 1, 1, 5, 7, 8, 30, 8, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 0, 0, 2, 2, 2, 30, 30, 2, 2, 2, 2, 2, 30, 30, 2, 2, 2, 2, 2, 18, 30, 2, 2, 2, 6, 7, 29, 30, 17, 8, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 29, 3, 0, 1, 2, 1, 29, 29, 6, 1, 1, 1, 1, 29, 29, 1, 1, 1, 1, 1, 28, 29, 1, 1, 2, 6, 8, 29, 29, 8, 7, 5, 0, 0, 0, 0, 2, 2, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 29, 0, 2, 2, 2, 30, 30, 2, 2, 2, 2, 18, 30, 6, 2, 2, 2, 2, 30, 30, 1, 1, 4, 7, 27, 30, 14, 7, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 1, 1, 1, 1, 1, 30, 30, 1, 1, 1, 1, 1, 24, 30, 1, 1, 1, 1, 1, 15, 30, 8, 9, 8, 8, 7, 6, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 2, 2, 2, 2, 2, 30, 30, 2, 2, 2, 2, 2, 30, 2, 2, 2, 2, 2, 1, 30, 6, 7, 8, 8, 7, 5, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 28, 26, 2, 2, 1, 2, 25, 28, 3, 1, 1, 1, 1, 28, 28, 1, 2, 1, 1, 1, 28, 9, 8, 9, 9, 8, 10, 28, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 1, 1, 1, 1, 1, 30, 30, 1, 1, 1, 1, 1, 30, 29, 1, 1, 1, 1, 1, 26, 30, 6, 8, 9, 8, 7, 29, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2, 2, 0, 0, 2, 2, 0, 1, 0, 0, 28, 28, 1, 1, 1, 1, 3, 28, 26, 1, 1, 1, 1, 1, 28, 27, 2, 2, 2, 2, 1, 28, 28, 7, 8, 9, 8, 7, 28, 28, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 1, 0, 19, 27, 14, 1, 1, 1, 8, 27, 10, 1, 1, 1, 2, 27, 27, 1, 1, 1, 1, 25, 27, 6, 8, 8, 8, 23, 27, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 30, 30, 1, 1, 1, 1, 12, 30, 1, 1, 1, 1, 1, 30, 30, 1, 1, 3, 7, 8, 30, 9, 7, 4, 0, 1, 30, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 27, 1, 1, 1, 1, 1, 1, 27, 1, 1, 1, 1, 1, 1, 27, 1, 1, 1, 5, 8, 9, 27, 8, 7, 5, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 30, 1, 1, 1, 1, 1, 30, 22, 1, 1, 1, 1, 21, 30, 1, 1, 3, 6, 7, 30, 7, 7, 4, 0, 0, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
